permit_type,high_proportion,low_proportion
ELECTRIC WIRING,0.3287430880476393,0.3893129770992366
EASY PERMIT PROCESS,0.25207358570820926,0.3504293893129771
RENOVATION/ALTERATION,0.18965333900467887,0.10376908396946564
SIGNS,0.07805189281156955,0.021708015267175574
NEW CONSTRUCTION,0.05449808592088473,0.017652671755725192
WRECKING/DEMOLITION,0.03939812845597618,0.09446564885496184
ELEVATOR EQUIPMENT,0.0344002552105487,0.019799618320610685
SCAFFOLDING,0.016482347937048066,0.0007156488549618321
REINSTATE REVOKED PMT,0.0066992769034453425,0.0021469465648854963
